request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=S&c-r-id=12766	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4834	"SENATE DISTRICT 004"	194	64418.10
s=NC&c-exi=1&c-r-ot=S&c-r-id=6941	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4848	"SENATE DISTRICT 018"	129	64283.88
s=NC&c-exi=1&c-r-ot=S&c-r-id=47633	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4868	"SENATE DISTRICT 038"	119	64235.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=61067	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4835	"SENATE DISTRICT 005"	109	62724.36
s=NC&c-exi=1&c-r-ot=S&c-r-id=70722	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4853	"SENATE DISTRICT 023"	458	62647.63
s=NC&c-exi=1&c-r-ot=S&c-r-id=1041	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4864	"SENATE DISTRICT 034"	211	62362.85
s=NC&c-exi=1&c-r-ot=S&c-r-id=61102	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4870	"SENATE DISTRICT 040"	268	62020.77
s=NC&c-exi=1&c-r-ot=S&c-r-id=70797	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4860	"SENATE DISTRICT 030"	82	62004.50
s=NC&c-exi=1&c-r-ot=S&c-r-id=51211	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4865	"SENATE DISTRICT 035"	141	61073.78
s=NC&c-exi=1&c-r-ot=S&c-r-id=17993	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4866	"SENATE DISTRICT 036"	118	59385.13
s=NC&c-exi=1&c-r-ot=S&c-r-id=31335	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4834	"SENATE DISTRICT 004"	214	58305.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=14848	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4858	"SENATE DISTRICT 028"	509	58218.91
s=NC&c-exi=1&c-r-ot=S&c-r-id=31322	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4853	"SENATE DISTRICT 023"	565	58033.39
s=NC&c-exi=1&c-r-ot=S&c-r-id=9796	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4858	"SENATE DISTRICT 028"	302	57633.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=70813	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4862	"SENATE DISTRICT 032"	326	57315.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=38868	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4870	"SENATE DISTRICT 040"	112	56952.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=23592	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4852	"SENATE DISTRICT 022"	165	56639.70
s=NC&c-exi=1&c-r-ot=S&c-r-id=33121	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4870	"SENATE DISTRICT 040"	90	56575.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=51199	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4836	"SENATE DISTRICT 006"	93	56545.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=1109	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4844	"SENATE DISTRICT 014"	210	55521.00
