request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=H&c-r-id=1098	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4780	"HOUSE DISTRICT 071"	72	21950.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=61010	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4777	"HOUSE DISTRICT 068"	35	21925.32
s=NC&c-exi=1&c-r-ot=H&c-r-id=49605	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4815	"HOUSE DISTRICT 106"	56	21900.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=23676	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4749	"HOUSE DISTRICT 040"	71	21873.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=70668	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4778	"HOUSE DISTRICT 069"	65	21866.10
s=NC&c-exi=1&c-r-ot=H&c-r-id=18010	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4727	"HOUSE DISTRICT 018"	31	21825.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=53275	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4792	"HOUSE DISTRICT 083"	38	21822.67
s=NC&c-exi=1&c-r-ot=H&c-r-id=36432	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4737	"HOUSE DISTRICT 028"	111	21580.59
s=NC&c-exi=1&c-r-ot=H&c-r-id=48589	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4784	"HOUSE DISTRICT 075"	79	21535.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=48569	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4733	"HOUSE DISTRICT 024"	200	21489.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=70798	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4747	"HOUSE DISTRICT 038"	115	21413.74
s=NC&c-exi=1&c-r-ot=H&c-r-id=61041	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4808	"HOUSE DISTRICT 099"	32	21225.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=28312	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4792	"HOUSE DISTRICT 083"	44	21150.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=60970	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4737	"HOUSE DISTRICT 028"	37	21150.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=53279	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4801	"HOUSE DISTRICT 092"	51	21036.89
s=NC&c-exi=1&c-r-ot=H&c-r-id=70754	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4794	"HOUSE DISTRICT 085"	28	21000.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=42316	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4795	"HOUSE DISTRICT 086"	26	20950.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=70837	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4773	"HOUSE DISTRICT 064"	49	20863.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=49649	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4740	"HOUSE DISTRICT 031"	31	20850.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=55174	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4740	"HOUSE DISTRICT 031"	32	20600.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=42318	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4735	"HOUSE DISTRICT 026"	42	20550.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=51233	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4806	"HOUSE DISTRICT 097"	69	20400.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=47657	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4765	"HOUSE DISTRICT 056"	85	20359.50
s=NC&c-exi=1&c-r-ot=H&c-r-id=49623	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4818	"HOUSE DISTRICT 109"	139	19980.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=40704	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4787	"HOUSE DISTRICT 078"	86	19973.35
s=NC&c-exi=1&c-r-ot=H&c-r-id=14805	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4780	"HOUSE DISTRICT 071"	58	19927.24
s=NC&c-exi=1&c-r-ot=H&c-r-id=45551	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4768	"HOUSE DISTRICT 059"	43	19702.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=48586	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4769	"HOUSE DISTRICT 060"	58	19650.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=23674	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4739	"HOUSE DISTRICT 030"	279	19600.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=45555	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4797	"HOUSE DISTRICT 088"	54	19550.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=55172	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4737	"HOUSE DISTRICT 028"	33	19500.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=51195	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4730	"HOUSE DISTRICT 021"	76	19464.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=51235	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4798	"HOUSE DISTRICT 089"	32	19450.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=47651	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4741	"HOUSE DISTRICT 032"	46	19344.87
s=NC&c-exi=1&c-r-ot=H&c-r-id=47647	s	NC	NC	y	1996	1996	c-r-t	1	Standard	c-r-osid	4730	"HOUSE DISTRICT 021"	59	19310.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=7824	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4779	"HOUSE DISTRICT 070"	47	19281.64
s=NC&c-exi=1&c-r-ot=H&c-r-id=49629	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4733	"HOUSE DISTRICT 024"	69	19200.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=60984	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4751	"HOUSE DISTRICT 042"	60	19175.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=45572	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4788	"HOUSE DISTRICT 079"	42	19050.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=4889	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4724	"HOUSE DISTRICT 015"	66	18997.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=47702	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4789	"HOUSE DISTRICT 080"	43	18824.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=23668	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4817	"HOUSE DISTRICT 108"	28	18787.41
s=NC&c-exi=1&c-r-ot=H&c-r-id=53277	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4796	"HOUSE DISTRICT 087"	29	18650.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=6959	s	NC	NC	y	1998	1998	c-r-t	1	Standard	c-r-osid	4725	"HOUSE DISTRICT 016"	44	18454.04
s=NC&c-exi=1&c-r-ot=H&c-r-id=14828	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4793	"HOUSE DISTRICT 084"	74	18449.14
